GMDNR,GMDNAME_x,Stimmberechtigte,Abgegebene Stimmen,Beteiligung in %,Gültige Stimmzettel,Ja,Nein,Ja in %,GMDNAME_y,BZNR,KTNR,geometry
3792,Bregaglia,1205,491,40.75,475,366,109,77.05,Bregaglia,1846,18,"POLYGON ((2755110.2487999983 1142501.1312000006, 2755873 1142841, 2755948 1143224, 2757032 1144300, 2757299 1143905, 2757472 1144292, 2758897 1144958, 2759358 1144461, 2759799 1144336, 2759767 1143942, 2760241 1142710, 2760223 1141704, 2760370 1141136, 2760701 1140748, 2760597 1140318, 2761121 1139664, 2762561 1138908, 2763711 1140231, 2763821 1141205, 2764765 1141529, 2765183 1141316, 2765644 1142201, 2765973 1142375, 2766608 1142181, 2766770 1141825, 2767027 1141738, 2769149 1141615, 2769089 1141791, 2769525 1141887, 2769873 1142612, 2770500 1142768, 2771037 1142673, 2771051 1143480, 2771820 1143744, 2772470 1143458, 2772653 1143149, 2773417 1143352, 2773941 1142856, 2774366 1143178, 2777535 1143554, 2778057 1141895, 2778594 1140951, 2779134 1138189, 2779613 1137046, 2779646 1136211, 2780227 1135762, 2780583 1134878, 2780145.467500001 1134249.5025000013, 2779456.5650000013 1134279.3099999987, 2778503.5599999987 1135196.5350000001, 2777702.5375000015 1135559.6424999982, 2777394.655000001 1135987.3737999983, 2776807.566300001 1135802.5500000007, 2776123.6224999987 1135110.2762000002, 2775862.282499999 1134710.3013000004, 2776189.344999999 1133825.4162000008, 2775907.3638000004 1133657.3275000006, 2775468.1125000007 1132834.9800000004, 2775548.173799999 1132580.2424999997, 2776150.6350000016 1132378.1424999982, 2776156.9250000007 1131664.5111999996, 2776063.7699999996 1131299.1887000017, 2775594.067499999 1130870.307500001, 2775347 1129377, 2775019.2074999996 1129235.8874999993, 2774449.0436999984 1129116.5837000012, 2773776.0625 1129447.3387000002, 2773357.5150000006 1129421.5249999985, 2772819.7974999994 1129768.6099999994, 2772766.9937999994 1130088.0524999984, 2772392.5874999985 1130418.548799999, 2771901.226300001 1130054.3475000001, 2771854.763700001 1129654.0599999987, 2771141.0775000006 1129604.8874999993, 2770462.5500000007 1129195.9175000004, 2770369.6286999993 1128889.307500001, 2769574.6224999987 1128459.9761999995, 2768432.2575000003 1128681.192499999, 2767998.6063 1128550.5738000013, 2767329.888700001 1129341.9974999987, 2766469.3275000006 1129436.3286999986, 2765968.9563000016 1129177.4074999988, 2765752.0700000003 1129329.2562000006, 2764927.3625000007 1129304.4087000005, 2764440.0463000014 1129752.8537999988, 2763586.9411999993 1130135.7613000013, 2763395.7912999988 1130529.3150000013, 2762978.7775 1130482.129999999, 2762615 1130073, 2761797.227499999 1130687.1787, 2760165.973700002 1132728.0012999997, 2759999.163800001 1133364.1125000007, 2759808.3762000017 1133330.0912999995, 2759308.8625000007 1135445.1587999985, 2758684.039999999 1135949.798799999, 2758344.933699999 1136823.4549999982, 2757304.3011999987 1137155.6462999992, 2757009.3088000007 1137581.9299999997, 2756756.9624999985 1137510.371199999, 2755571.342500001 1138071.0025000013, 2755716.6413000003 1138415.9737000018, 2755620.967500001 1138908.629999999, 2755880.5386999995 1139001.0124999993, 2756137.0524999984 1139527.9050000012, 2755525.041200001 1142096.4787999988, 2755110.2487999983 1142501.1312000006))"
3804,Buseno,69,37,53.62,36,30,6,83.33,Buseno,1847,18,"POLYGON ((2730079 1123558, 2730004 1123362, 2729162 1123477, 2728928 1123738, 2729058 1124069, 2728094 1124864, 2727819 1124752, 2727761 1125306, 2727418 1125699, 2727200 1125490, 2727116 1125738, 2726473 1125663, 2726139 1126178, 2726394 1126669, 2725814 1127958, 2725648 1128797, 2726273 1127881, 2727097 1128065, 2727921 1127297, 2728122 1127391, 2728407 1127222, 2728599 1127959, 2729398 1127934, 2729450 1127668, 2730248 1127383, 2730881 1127456, 2730620 1126666, 2730357 1126432, 2729550 1126040, 2729687 1125563, 2729260 1125424, 2728987 1125084, 2729187 1124599, 2730052 1124050, 2729929 1123653, 2730079 1123558))"
3805,Castaneda,237,101,42.62,100,77,23,77,Castaneda,1847,18,"POLYGON ((2730079 1123558, 2729929 1123653, 2730052 1124050, 2729187 1124599, 2728987 1125084, 2729260 1125424, 2729687 1125563, 2729550 1126040, 2730357 1126432, 2730735 1125675, 2729848 1125269, 2730188 1124801, 2730666 1124854, 2730774 1124511, 2731451 1124832, 2732084 1124285, 2732037 1123961, 2731618 1123573, 2730894 1123718, 2730714 1123443, 2730079 1123558))"
3808,Rossa,148,66,44.59,62,46,16,74.19,Rossa,1847,18,"POLYGON ((2733535 1138468, 2733196 1137704, 2733293 1137231, 2733016 1136968, 2733317 1135737, 2732921 1135346, 2732835 1134918, 2732204 1134354, 2732340 1133539, 2730924 1133571, 2730101 1133392, 2729594 1134030, 2728113.5150000006 1133325.5274999999, 2726420 1133855, 2725673 1133774, 2726989 1134473, 2727293 1135356, 2727418 1136088, 2727287 1136837, 2727457 1137084, 2726807 1138828, 2727470 1140070, 2727011 1140800, 2727909 1141307, 2727790 1142041, 2726841 1143646, 2726867 1144175, 2728037 1144188, 2728647 1144935, 2729121 1145947, 2730423 1145414, 2730920 1143742, 2731400 1143245, 2731453 1142250, 2732002 1142127, 2731904 1141667, 2732303 1141334, 2732410 1139985, 2732870 1138831, 2733535 1138468))"
3810,Santa Maria in Calanca,96,26,27.08,26,25,1,96.15,Santa Maria in Calanca,1847,18,"POLYGON ((2730357 1126432, 2730620 1126666, 2730881 1127456, 2731029 1127845, 2731422 1128042, 2731458 1128806, 2731812 1129830, 2731719 1130488, 2732036 1131039, 2732600 1130084, 2732704 1128906, 2733046 1127785, 2733020 1127462, 2732622 1127049, 2732615 1126368, 2732156 1125665, 2731984 1124793, 2732084 1124285, 2731451 1124832, 2730774 1124511, 2730666 1124854, 2730188 1124801, 2729848 1125269, 2730735 1125675, 2730357 1126432))"
3821,Lostallo,560,241,43.04,234,173,61,73.93,Lostallo,1847,18,"POLYGON ((2732505 1131109, 2732521 1132665, 2732695 1133254, 2733297 1132724, 2734823 1132513, 2735634 1133021, 2736191 1133687, 2736405 1133329, 2736875 1133173, 2737577 1132520, 2737927 1133032, 2738338 1133001, 2738876 1132445, 2739252 1132576, 2739748 1132329, 2740449 1132863, 2741163 1132790, 2741806 1131849, 2741874 1131267, 2742231.4875000007 1130894.147500001, 2741961.7875000015 1130313.201200001, 2742260 1128951.5637999997, 2741270.0637000017 1128108.8299999982, 2740965.4486999996 1127281.486200001, 2740315.8225000016 1126865.736299999, 2740172.539999999 1125847.8137999997, 2739797.8363000005 1125611.5786999986, 2738858 1125499, 2737907 1127037, 2736736 1126846, 2736441 1127168, 2735783 1127272, 2735122 1127903, 2734172 1128210, 2733688 1128305, 2733040 1129833, 2733123 1130046, 2732505 1131109))"
3822,Mesocco,951,382,40.17,373,298,75,79.89,Mesocco,1847,18,"POLYGON ((2741382.6963 1136814.5538000017, 2740847 1136718, 2740184 1135943, 2738830 1135929, 2738415 1136436, 2737990 1137768, 2737494 1137776, 2737223 1137579, 2734399 1138624, 2733535 1138468, 2732870 1138831, 2732410 1139985, 2732303 1141334, 2731904 1141667, 2732002 1142127, 2731453 1142250, 2731400 1143245, 2730920 1143742, 2730423 1145414, 2729121 1145947, 2728647 1144935, 2728037 1144188, 2726867 1144175, 2726660 1144925, 2726973 1145459, 2727241 1146794, 2726446 1147952, 2726460 1148442, 2725934 1148734, 2731818 1151911, 2734925 1152075, 2735496 1151933, 2735491 1152079, 2735710 1151857, 2735967 1151911, 2737228 1152722, 2737482 1153218, 2738942 1153303, 2740028 1153695, 2740594 1154142, 2740892 1153620, 2740742 1152796, 2741506 1152475, 2741558.8236999996 1151150.0124999993, 2741295.4349999987 1150117.2674999982, 2740950.663800001 1149690.5362999998, 2741206.6411999986 1149185.6437, 2740939.9499999993 1147737.0813000016, 2741280.1788000017 1147174.951200001, 2740407.995000001 1146101.2650000006, 2739381.905000001 1145848.8825000003, 2738943.897500001 1145540.432500001, 2739203.2238 1143791.5438, 2740062.545000002 1143143.335000001, 2740281.083799999 1142657.1011999995, 2740757.6499999985 1142400.8399999999, 2741131.576299999 1142483.4699999988, 2741603.370000001 1141851.3775000013, 2741750.3511999995 1140969.2137999982, 2741485.1875 1140778.1237000003, 2741726.978700001 1140572.6411999986, 2741260.7463000007 1139829.5936999992, 2741513.2399999984 1139182.2388000004, 2741907.210000001 1138882.2025000006, 2741913.1587999985 1138588.397500001, 2741300.093800001 1137441.2049999982, 2741456.1361999996 1137218.1900000013, 2741382.6963 1136814.5538000017))"
3823,Soazza,248,108,43.55,103,77,26,74.76,Soazza,1847,18,"POLYGON ((2741382.6963 1136814.5538000017, 2741598.5874999985 1136685.8462000005, 2741905.5249999985 1135718.4825000018, 2742986.8762999997 1135500.3724999987, 2743100.2212000005 1135036.9800000004, 2742976.079999998 1134772.8949999996, 2743285.397500001 1134172.486200001, 2742715.9538000003 1133296.173700001, 2742818.9963000007 1132852.0474999994, 2743343.4400000013 1132262.3462000005, 2743024.710000001 1131898.2399999984, 2742950.8988000005 1131228.0938000008, 2742231.4875000007 1130894.147500001, 2741874 1131267, 2741806 1131849, 2741163 1132790, 2740449 1132863, 2739748 1132329, 2739252 1132576, 2738876 1132445, 2738338 1133001, 2737927 1133032, 2737577 1132520, 2736875 1133173, 2736405 1133329, 2736191 1133687, 2735634 1133021, 2734823 1132513, 2733297 1132724, 2732695 1133254, 2732340 1133539, 2732204 1134354, 2732835 1134918, 2732921 1135346, 2733317 1135737, 2733016 1136968, 2733293 1137231, 2733196 1137704, 2733535 1138468, 2734399 1138624, 2737223 1137579, 2737494 1137776, 2737990 1137768, 2738415 1136436, 2738830 1135929, 2740184 1135943, 2740847 1136718, 2741382.6963 1136814.5538000017))"
3831,Cama,364,97,26.65,96,72,24,75,Cama,1847,18,"POLYGON ((2739450.6950000003 1121672.3337999992, 2738605.905000001 1121806.2562000006, 2737489.477499999 1121277.852499999, 2737318 1122953, 2736586 1123890, 2735478 1124155, 2735164 1124576, 2732894 1125476, 2733547 1126587, 2733673 1127304, 2734018 1127584, 2734172 1128210, 2735122 1127903, 2735783 1127272, 2736441 1127168, 2736736 1126846, 2736244 1126670, 2735930 1126118, 2735181 1126806, 2734775 1126367, 2734644 1125423, 2737090 1125498, 2736991 1125138, 2738176 1124038, 2738361 1124113, 2739558.9987999983 1123397.9024999999, 2739690.4299999997 1122530.2824999988, 2739450.6950000003 1121672.3337999992))"
3832,Grono,842,299,35.51,289,233,56,80.62,Grono,1847,18,"MULTIPOLYGON (((2737907 1127037, 2738858 1125499, 2739797.8363000005 1125611.5786999986, 2739890.0863000005 1125057.4050000012, 2739593.773699999 1124359.4274999984, 2739779.0813000016 1123833.8649999984, 2739558.9987999983 1123397.9024999999, 2738361 1124113, 2738176 1124038, 2736991 1125138, 2737090 1125498, 2734644 1125423, 2734775 1126367, 2735181 1126806, 2735930 1126118, 2736244 1126670, 2736736 1126846, 2737907 1127037)), ((2736586 1123890, 2737318 1122953, 2737489.477499999 1121277.852499999, 2737663.5337000005 1120719.8911999986, 2737366.2437999994 1119649.066300001, 2737033.406300001 1119249.8962999992, 2736096.0100000016 1118957.1550000012, 2734595 1120206, 2734810 1121042, 2732899 1121384, 2732081 1121329, 2730601 1123257, 2730714 1123443, 2730894 1123718, 2731618 1123573, 2732037 1123961, 2732084 1124285, 2731984 1124793, 2732156 1125665, 2732615 1126368, 2732622 1127049, 2733020 1127462, 2733046 1127785, 2732704 1128906, 2732600 1130084, 2732036 1131039, 2732505 1131109, 2733123 1130046, 2733040 1129833, 2733688 1128305, 2734172 1128210, 2734018 1127584, 2733673 1127304, 2733547 1126587, 2732894 1125476, 2735164 1124576, 2735478 1124155, 2736586 1123890)))"
3834,Roveredo (GR),1598,1193,74.66,1113,932,181,83.74,Roveredo (GR),1847,18,"POLYGON ((2735833.9836999997 1116583.352499999, 2735597.1086999997 1116249.5236999989, 2735542.6499999985 1115623.620000001, 2734566.6099999994 1114571.5962000005, 2733917.2775 1114754.1275000013, 2733421 1116602, 2733384 1117651, 2733603 1117923, 2732840 1119106, 2732796 1117501, 2732581 1117183, 2732720 1116330, 2733150.219999999 1115309.7925000004, 2733601.219999999 1114793.7925000004, 2732888.2875000015 1114582.1887999997, 2732390 1114658, 2731314 1115553, 2730722 1116117, 2730658 1116624, 2729697 1117936, 2729086 1118435, 2727374 1119222, 2727253 1119332, 2728611 1119379, 2729162 1119713, 2729140 1120298, 2728243 1120339, 2728176 1121161, 2728719 1121297, 2729477 1122093, 2729418 1122410, 2730004 1123362, 2730079 1123558, 2730714 1123443, 2730601 1123257, 2732081 1121329, 2732899 1121384, 2734810 1121042, 2734595 1120206, 2736096.0100000016 1118957.1550000012, 2735567.0813000016 1117312.8586999997, 2735833.9836999997 1116583.352499999))"
3835,San Vittore,573,231,40.31,224,181,43,80.8,San Vittore,1847,18,"MULTIPOLYGON (((2733421 1116602, 2733917.2775 1114754.1275000013, 2733737.7250000015 1114839.058699999, 2733601.219999999 1114793.7925000004, 2733150.219999999 1115309.7925000004, 2732720 1116330, 2732581 1117183, 2732796 1117501, 2732840 1119106, 2733603 1117923, 2733384 1117651, 2733421 1116602)), ((2726139 1126178, 2726473 1125663, 2727116 1125738, 2727200 1125490, 2727418 1125699, 2727761 1125306, 2727819 1124752, 2728094 1124864, 2729058 1124069, 2728928 1123738, 2729162 1123477, 2730004 1123362, 2729418 1122410, 2729477 1122093, 2728719 1121297, 2728176 1121161, 2728243 1120339, 2729140 1120298, 2729162 1119713, 2728611 1119379, 2727253 1119332, 2726575.4338000007 1121544.5199999996, 2726189 1121329, 2725915 1121800, 2726299 1122034, 2726375 1124528, 2725174 1126249, 2724464 1128036, 2724589.5075000003 1128462.8836999983, 2724958 1128624, 2725663 1129798, 2725648 1128797, 2725814 1127958, 2726394 1126669, 2726139 1126178)))"
3837,Calanca,195,71,36.41,70,47,23,67.14,Calanca,1847,18,"POLYGON ((2732505 1131109, 2732036 1131039, 2731719 1130488, 2731812 1129830, 2731458 1128806, 2731422 1128042, 2731029 1127845, 2730881 1127456, 2730248 1127383, 2729450 1127668, 2729398 1127934, 2728599 1127959, 2728407 1127222, 2728122 1127391, 2727921 1127297, 2727097 1128065, 2726273 1127881, 2725648 1128797, 2725663 1129798, 2726045 1130559, 2725139 1131941, 2725580 1132538, 2725327 1132964, 2725531 1133769, 2725673 1133774, 2726420 1133855, 2728113.5150000006 1133325.5274999999, 2729594 1134030, 2730101 1133392, 2730924 1133571, 2732340 1133539, 2732695 1133254, 2732521 1132665, 2732505 1131109))"
3901,Chur,25973,9079,34.96,8894,7113,1781,79.98,Chur,1848,18,"POLYGON ((2758794 1196203, 2758946 1196128, 2760037 1196155, 2759882 1195179, 2762345 1193665, 2763311 1191853, 2763377 1192142, 2763898 1192566, 2764321 1191988, 2764405 1191145, 2763765 1190155, 2763615 1189075, 2763395 1188955, 2763215 1189245, 2762145 1188905, 2761525 1188845, 2760770 1189256, 2760655 1188975, 2760795 1188591, 2758427 1188584, 2757593 1187324, 2757082 1187313, 2756572 1187476, 2756381 1187772, 2756352 1188998, 2756589 1189200, 2756040 1190329, 2756762 1191274, 2756194 1192571, 2755753 1192205, 2754655 1193895, 2753631 1194566, 2753736 1194785, 2754567 1194772, 2754774 1195376, 2754605 1195974, 2755844 1195706, 2756976 1195918, 2757861 1196365, 2758213 1196886, 2758782 1196711, 2758794 1196203))"
3911,Churwalden,1389,518,37.29,504,353,151,70.04,Churwalden,1848,18,"POLYGON ((2758590 1180057, 2758024 1181233, 2757288 1181655, 2756751 1182672, 2756898 1182984, 2757507 1183332, 2756978 1184969, 2757142 1185366, 2757062 1185966, 2756634 1186554, 2757082 1187313, 2757593 1187324, 2758427 1188584, 2760795 1188591, 2760655 1188975, 2760770 1189256, 2761525 1188845, 2762145 1188905, 2762584 1187600, 2762636 1186059, 2763502 1184252, 2763751 1184099, 2763690 1183650, 2764275 1182490, 2764785 1182641, 2764706 1182239, 2764231 1181562, 2764281 1181249, 2763816 1181185, 2763269 1179885, 2761971 1180466, 2762059 1180586, 2761642 1181034, 2761525 1181519, 2761162 1181465, 2760838 1181900, 2760303 1181786, 2760537 1181283, 2760484 1180570, 2760121 1180491, 2760152 1180230, 2758590 1180057))"
3921,Arosa,2169,809,37.3,799,561,238,70.21,Arosa,1848,18,"POLYGON ((2766230 1178597, 2765428 1179153, 2764956 1179081, 2765148 1180100, 2765056 1180587, 2765296 1180950, 2765815 1180922, 2766556 1181288, 2766877 1182975, 2767367 1183329, 2768116 1184814, 2767804 1185603, 2767129 1185735, 2766281 1186780, 2766422 1187568, 2766175 1188374, 2765665 1188455, 2765535 1188775, 2765325 1188635, 2764975 1188995, 2763615 1189075, 2763765 1190155, 2764405 1191145, 2764321 1191988, 2763898 1192566, 2764064 1192528, 2764390 1192987, 2764927 1193028, 2765593 1193446, 2766508 1193134, 2767210 1193723, 2767663 1192872, 2768132 1192747, 2770423 1192891, 2770535 1193033, 2771013 1193212, 2771840 1192588, 2772575 1192547, 2772678 1192324, 2773508 1192167, 2774226 1191450, 2775509 1191851, 2776862 1192567, 2777360 1193218, 2777654 1193234, 2778261 1193027, 2779017 1192355, 2779085 1191888, 2779711 1192003, 2779901 1191670, 2780270 1191653, 2780525 1191399, 2780141 1190613, 2779891 1190576, 2779568 1190090, 2779906 1190044, 2780472 1189520, 2780678 1188687, 2780479 1187972, 2779727 1187229, 2778384 1186710, 2778370 1186254, 2777846 1185809, 2776681 1185409, 2776348 1184402, 2775280 1183670, 2775066 1183225, 2774645 1183074, 2774555 1182777, 2775217 1182074, 2774447 1181614, 2774311 1180734, 2773925 1180313, 2773937 1179875, 2773116 1179477, 2772899 1179026, 2772233 1178888, 2771612 1179003, 2771089 1178181, 2770462 1177867, 2770089 1177802, 2769906 1178395, 2770392 1178742, 2770748 1179518, 2771037 1179556, 2771713 1180373, 2772125 1181325, 2771745 1181545, 2771701 1181777, 2771375 1181405, 2771126 1181484, 2770641 1181184, 2770711 1181004, 2770433 1180840, 2770393 1180590, 2770062 1181249, 2768764 1179725, 2766230 1178597))"
3932,Tschiertschen-Praden,243,73,30.04,73,44,29,60.27,Tschiertschen-Praden,1848,18,"POLYGON ((2765296 1180950, 2764706 1182239, 2764785 1182641, 2764275 1182490, 2763690 1183650, 2763751 1184099, 2763502 1184252, 2762636 1186059, 2762584 1187600, 2762145 1188905, 2763215 1189245, 2763395 1188955, 2763615 1189075, 2764975 1188995, 2765325 1188635, 2765535 1188775, 2765665 1188455, 2766175 1188374, 2766422 1187568, 2766281 1186780, 2767129 1185735, 2767804 1185603, 2768116 1184814, 2767367 1183329, 2766877 1182975, 2766556 1181288, 2765815 1180922, 2765296 1180950))"
3851,Davos,6868,3158,45.98,3109,2389,720,76.84,Davos,1849,18,"POLYGON ((2780472 1189520, 2781305 1192275, 2782304 1192608, 2782641 1192415, 2783690 1192588, 2784215 1192187, 2785468 1191880, 2785948 1191339, 2786060 1190711, 2786997 1188608, 2788136 1188200, 2788674 1187738, 2790321 1187226, 2791486 1187645, 2791555 1187060, 2791251 1186757, 2791290 1186458, 2791876 1185864, 2792369 1185765, 2792136 1184658, 2792448 1184007, 2792334 1183443, 2793076 1182162, 2792878 1181947, 2793060 1181527, 2792907 1181274, 2792084 1180820, 2791506 1180923, 2790632 1180638, 2791473 1178502, 2791375 1177972, 2791709 1177822, 2791746 1177575, 2792252 1177534, 2792714 1176899, 2792412 1176387, 2792457 1176032, 2792208 1175773, 2792587 1175050, 2792479 1174460, 2791477 1174415, 2791074 1174692, 2790477 1174653, 2789287 1174068, 2788983 1173462, 2788440 1173371, 2787890 1172986, 2787114 1172871, 2786792 1173247, 2786068 1173467, 2785282 1174183, 2784528 1173733, 2783401 1172334, 2782948 1172072, 2782096 1173011, 2778611 1171451, 2777495 1172032, 2776897 1172099, 2776907 1172523, 2776336 1173411, 2776273 1174255, 2775656 1174150, 2775441.1312999986 1173826.835000001, 2775415 1174675, 2774753 1174620, 2774035 1173925, 2774062 1173581, 2774516 1173225, 2774840 1172579, 2774349 1172633, 2774710 1172173, 2774281 1171677, 2774138 1171681, 2774105 1172559, 2773760 1173515, 2773454 1173247, 2773065 1173265, 2773168 1173458, 2772855 1174015, 2772635 1175405, 2772080 1176219, 2770989 1177155, 2770462 1177867, 2771089 1178181, 2771612 1179003, 2772233 1178888, 2772899 1179026, 2773116 1179477, 2773937 1179875, 2773925 1180313, 2774311 1180734, 2774447 1181614, 2775217 1182074, 2774555 1182777, 2774645 1183074, 2775066 1183225, 2775280 1183670, 2776348 1184402, 2776681 1185409, 2777846 1185809, 2778370 1186254, 2778384 1186710, 2779727 1187229, 2780479 1187972, 2780678 1188687, 2780472 1189520))"
3861,Fideris,476,174,36.55,167,120,47,71.86,Fideris,1849,18,"POLYGON ((2774473.4613000005 1199716.2824999988, 2775235 1199415, 2776135 1199385, 2776868 1198325, 2776674 1198150, 2777509 1197888, 2777230 1196919, 2777305 1196245, 2776875 1195899, 2777295 1194628, 2777571 1194367, 2777654 1193234, 2777360 1193218, 2776862 1192567, 2775509 1191851, 2774226 1191450, 2773508 1192167, 2772678 1192324, 2772575 1192547, 2773103 1193211, 2773439 1194743, 2774537 1194995, 2774858 1195321, 2774667 1196498, 2773177 1197654, 2773457 1198556, 2774473.4613000005 1199716.2824999988))"
3862,Furna,155,51,32.9,50,35,15,70,Furna,1849,18,"POLYGON ((2769740 1203177, 2770655 1202753, 2769821 1201971, 2770878 1202033, 2770945 1201295, 2771505 1200925, 2771900 1200945, 2771415 1200435, 2771405 1200075, 2770865 1199725, 2771005 1198755, 2771315 1198355, 2771205 1197975, 2771545 1196835, 2771415 1195985, 2770565 1194665, 2770955 1194120, 2770664 1193703, 2770535 1193033, 2770423 1192891, 2768132 1192747, 2767663 1192872, 2767210 1193723, 2767462 1194180, 2768273 1194646, 2768914 1195803, 2768144 1198393, 2767328 1199181, 2766939 1199613, 2767317 1200547, 2766679 1200999, 2766661 1202070, 2767801 1202879, 2769026 1202728, 2769240 1203172, 2769740 1203177))"
3863,Jenaz,865,328,37.92,322,209,113,64.91,Jenaz,1849,18,"POLYGON ((2774473.4613000005 1199716.2824999988, 2773457 1198556, 2773177 1197654, 2774667 1196498, 2774858 1195321, 2774537 1194995, 2773439 1194743, 2773103 1193211, 2772575 1192547, 2771840 1192588, 2771013 1193212, 2770535 1193033, 2770664 1193703, 2770955 1194120, 2770565 1194665, 2771415 1195985, 2771545 1196835, 2771205 1197975, 2771315 1198355, 2771005 1198755, 2770865 1199725, 2771405 1200075, 2771415 1200435, 2771900 1200945, 2771505 1200925, 2770945 1201295, 2770878 1202033, 2769821 1201971, 2770655 1202753, 2771392 1202835, 2772575 1202415, 2773185 1200865, 2773490 1200917, 2773815 1200245, 2774473.4613000005 1199716.2824999988))"
3871,Klosters,3151,1370,43.48,1335,952,383,71.31,Klosters,1849,18,"POLYGON ((2780472 1189520, 2779906 1190044, 2779568 1190090, 2779891 1190576, 2780141 1190613, 2780525 1191399, 2780270 1191653, 2779901 1191670, 2779711 1192003, 2779991 1192815, 2780521 1193252, 2780537 1193895, 2781104 1195107, 2780565 1195735, 2781095 1197215, 2780968 1197488, 2780575 1197545, 2779705 1198215, 2779365 1198225, 2779068.7388000004 1198310.8363000005, 2779275 1198621, 2779302 1199357, 2781413 1199911, 2782481 1200732, 2783242 1200431, 2783601 1201201, 2783979 1200849, 2785295 1200648, 2785585.218699999 1201054.2149999999, 2785933.84 1201108.2712999992, 2786992.870000001 1200766.2950000018, 2787915.923799999 1200089.6612999998, 2788369.1900000013 1200187.861200001, 2789096.5275 1199406.5199999996, 2790338.267499998 1198825.1550000012, 2790991.682500001 1198746.6887000017, 2791964.517499998 1199186.6361999996, 2792285.157499999 1198793.5274999999, 2792548.8511999995 1198782.6136999987, 2793396.0786999986 1199217.0812, 2793627.1400000006 1198945.1625000015, 2793778.6963 1198152.3475000001, 2794376.923799999 1197750.1724999994, 2794811.9574999996 1197747.9362999983, 2795593.2124999985 1197388.5, 2796489.9411999993 1197731.0375000015, 2797169.9037000015 1197107.3049999997, 2797827.344999999 1196102.8812999986, 2798184.7925000004 1196028.6887000017, 2798442.9125000015 1195440.2800000012, 2799234.4750000015 1194944.6099999994, 2799171.353700001 1193629.4813, 2799820.473700002 1193298.8187999986, 2801935.3588000014 1193415.263799999, 2802347.8825000003 1193094.4587999992, 2802349.5887 1192374.3962999992, 2802701.8988000005 1192061.9750000015, 2801829 1191361, 2801447 1190433, 2801199 1190577, 2800906 1190449, 2800651 1189888, 2801095 1189612, 2800458 1188975, 2800194 1188006, 2799213 1187876, 2798801 1187546, 2797838 1187702, 2797609 1186543, 2797090 1185903, 2795529 1185757, 2794997 1185202, 2794626 1183334, 2793624 1182797, 2793076 1182162, 2792334 1183443, 2792448 1184007, 2792136 1184658, 2792369 1185765, 2791876 1185864, 2791290 1186458, 2791251 1186757, 2791555 1187060, 2791486 1187645, 2790321 1187226, 2788674 1187738, 2788136 1188200, 2786997 1188608, 2786060 1190711, 2785948 1191339, 2785468 1191880, 2784215 1192187, 2783690 1192588, 2782641 1192415, 2782304 1192608, 2781305 1192275, 2780472 1189520))"
3881,Conters im Prättigau,168,60,35.71,60,39,21,65,Conters im Prättigau,1849,18,"POLYGON ((2779711 1192003, 2779085 1191888, 2779017 1192355, 2778261 1193027, 2777654 1193234, 2777571 1194367, 2777295 1194628, 2776875 1195899, 2777305 1196245, 2777230 1196919, 2777509 1197888, 2777880 1197817, 2778539 1198181, 2779365 1198225, 2779705 1198215, 2780575 1197545, 2780968 1197488, 2781095 1197215, 2780565 1195735, 2781104 1195107, 2780537 1193895, 2780521 1193252, 2779991 1192815, 2779711 1192003))"
3882,Küblis,592,175,29.56,172,127,45,73.84,Küblis,1849,18,"POLYGON ((2779365 1198225, 2778539 1198181, 2777880 1197817, 2777509 1197888, 2777495 1198655, 2777815 1199585, 2778295 1199835, 2778575 1200535, 2779195 1200935, 2779625 1201565, 2780001 1201656, 2780996 1201260, 2781391 1201391, 2781511 1201135, 2782135 1201015, 2782481 1200732, 2781413 1199911, 2779302 1199357, 2779275 1198621, 2779068.7388000004 1198310.8363000005, 2779365 1198225))"
