GMDNR,GMDNAME_x,Stimmberechtigte,Abgegebene Stimmen,Beteiligung in %,Gültige Stimmzettel,Ja,Nein,Ja in %,GMDNAME_y,BZNR,KTNR,geometry
33,Kleinandelfingen,1444,704,48.75,693,447,246,64.5,Kleinandelfingen,102,1,"POLYGON ((2693948 1275902, 2693807 1275497, 2694106 1275422, 2693992 1274647, 2694325 1274367, 2694593 1274513, 2695120 1274203, 2695171 1273957, 2694722 1273352, 2695045 1273055, 2694694.2311999984 1272603.6537000015, 2693440 1272570, 2692625 1273555, 2692105 1273685, 2691285 1272415, 2691125 1271625, 2690364.3161999993 1271867.9050000012, 2690137 1271951, 2690117 1272185, 2689585 1272082, 2689180 1272250, 2688815 1272634, 2690306 1272789, 2690522 1273440, 2692165 1274157, 2692387 1274720, 2692297 1276151, 2693422 1276222, 2693948 1275902))"
34,Laufen-Uhwiesen,1186,542,45.7,536,387,149,72.2,Laufen-Uhwiesen,102,1,"POLYGON ((2693086 1280199, 2692514 1280270, 2691460 1280282, 2691065 1279832, 2689749 1279556, 2689325 1279745, 2688817 1280816, 2688500 1280660, 2688411 1280921, 2688125 1280955, 2687915 1280265, 2688326 1279649, 2688202.0386999995 1279561.4175000004, 2687908.138799999 1279853.5012999997, 2687703 1280471, 2688172 1281396, 2688355 1281457, 2688645 1281175, 2689008 1281305, 2689218 1281145, 2689990 1281501, 2690123 1281289, 2691207 1281247, 2691209 1281396, 2691649 1281532, 2692330 1281505, 2692443 1281183, 2692994 1280865, 2693086 1280199))"
35,Marthalen,1409,711,50.46,708,429,279,60.59,Marthalen,102,1,"POLYGON ((2692297 1276151, 2692387 1274720, 2692165 1274157, 2690522 1273440, 2690306 1272789, 2688815 1272634, 2687892 1272342, 2687255 1272597, 2686922 1272202, 2686813 1272297, 2686999 1273403, 2687580 1274048, 2687807 1273594, 2688053 1273662, 2687924 1273074, 2688469 1273136, 2688866 1273412, 2688646 1273692, 2689075 1274087, 2689060 1274353, 2688690 1274254, 2688480 1274635, 2688926 1274739, 2689542 1275271, 2689549 1275581, 2688813 1276138, 2689442 1276756, 2689920 1276646, 2690375 1277104, 2690121 1277675, 2690631 1277352, 2690686 1277785, 2690863 1277529, 2691350 1277667, 2691568 1277340, 2692306 1276538, 2691990 1276347, 2692297 1276151))"
37,Ossingen,1170,553,47.26,545,339,206,62.2,Ossingen,102,1,"POLYGON ((2693948 1275902, 2694405 1276035, 2695056 1275681, 2694844 1276603, 2695737 1276730, 2695654 1276231, 2696162 1276111, 2696120 1275795, 2696611 1275386, 2697035 1275370, 2697389 1275691, 2697562 1275619, 2697703 1275890, 2697962 1275802, 2697997 1276091, 2698162 1276040, 2698702 1276120, 2698817 1275955, 2698940 1275603, 2698540 1275347, 2698431 1275526, 2698307 1275400, 2698281 1274392, 2697869 1274314, 2697812 1273859, 2698520 1272975, 2698300 1272582, 2698497 1272117, 2697835 1271595, 2697485 1271925, 2697365 1272525, 2696815.7787000015 1272499.5062999986, 2696385 1272265, 2696195 1272365, 2696255 1272585, 2696725 1272825, 2696245 1273485, 2695895 1272975, 2695135 1272415, 2694836 1272512, 2694694.2311999984 1272603.6537000015, 2695045 1273055, 2694722 1273352, 2695171 1273957, 2695120 1274203, 2694593 1274513, 2694325 1274367, 2693992 1274647, 2694106 1275422, 2693807 1275497, 2693948 1275902))"
38,Rheinau,873,442,50.63,433,326,107,75.29,Rheinau,102,1,"POLYGON ((2687580 1274048, 2687685.7787000015 1274574.5324999988, 2687095.4624999985 1276009.4875000007, 2686917.7575000003 1277526.1937999986, 2687831.91 1278629.3825000003, 2688211.593800001 1278292.8187000006, 2688307.0824999996 1277714.7038000003, 2688107.461199999 1277484.6363000013, 2687606.2575000003 1277416.227499999, 2687483.717500001 1277183.2137999982, 2687768.4299999997 1276919.8313000016, 2688535.6499999985 1277037.0012999997, 2689031.728700001 1277379.1424999982, 2689385 1278241, 2689947 1278016, 2690121 1277675, 2690375 1277104, 2689920 1276646, 2689442 1276756, 2688813 1276138, 2689549 1275581, 2689542 1275271, 2688926 1274739, 2688480 1274635, 2688690 1274254, 2689060 1274353, 2689075 1274087, 2688646 1273692, 2688866 1273412, 2688469 1273136, 2687924 1273074, 2688053 1273662, 2687807 1273594, 2687580 1274048))"
39,Thalheim an der Thur,655,293,44.73,290,183,107,63.1,Thalheim an der Thur,102,1,"POLYGON ((2698065 1269693, 2697473 1270230, 2696231 1271524, 2696569 1271757, 2696614 1272026, 2696803 1271963, 2696815.7787000015 1272499.5062999986, 2697365 1272525, 2697485 1271925, 2697835 1271595, 2698497 1272117, 2699535 1272190, 2699765 1270832, 2699606 1270197, 2699831 1270135, 2700076 1269329, 2699609 1269364, 2699205 1269581, 2699220 1269739, 2698966 1269689, 2698668 1270157, 2698510 1269894, 2698300 1270116, 2698086 1270037, 2698065 1269693))"
40,Trüllikon,824,425,51.58,415,240,175,57.83,Trüllikon,102,1,"POLYGON ((2693948 1275902, 2693422 1276222, 2692297 1276151, 2691990 1276347, 2692306 1276538, 2691568 1277340, 2691540 1277585, 2691780 1277795, 2691895 1277565, 2692106 1277695, 2691954 1277940, 2692420 1278217, 2692251 1278504, 2692534 1278571, 2692660 1278867, 2692374 1279111, 2692514 1280270, 2693086 1280199, 2693348 1279214, 2693665 1278984, 2693911 1278389, 2694745 1278127, 2695439 1277588, 2695795 1277833, 2696072 1277567, 2696187 1277261, 2695975 1277243, 2696145 1276953, 2695926 1277003, 2695960 1276672, 2695737 1276730, 2694844 1276603, 2695056 1275681, 2694405 1276035, 2693948 1275902))"
41,Truttikon,355,193,54.37,192,102,90,53.13,Truttikon,102,1,"POLYGON ((2698340 1277272, 2698137 1276826, 2698368 1276595, 2698162 1276040, 2697997 1276091, 2697962 1275802, 2697703 1275890, 2697562 1275619, 2697389 1275691, 2697035 1275370, 2696611 1275386, 2696120 1275795, 2696162 1276111, 2695654 1276231, 2695737 1276730, 2695960 1276672, 2695926 1277003, 2696145 1276953, 2695975 1277243, 2696187 1277261, 2696072 1277567, 2696713 1277730, 2697177 1277615, 2698015 1277698, 2698086 1277357, 2698340 1277272))"
43,Volken,226,104,46.02,104,53,51,50.96,Volken,102,1,"POLYGON ((2688706 1269107, 2688400 1269245, 2688582 1269742, 2688882 1269705, 2688852 1270425, 2689112 1270627, 2689095 1270883, 2689335 1270880, 2689490 1271337, 2689660 1271227, 2690492 1271451, 2690527 1271291, 2691058 1271326, 2691121 1271080, 2690635 1270982, 2690676 1270677, 2690245 1270621, 2690136 1269682, 2689965 1269650, 2690092 1269267, 2689737 1269145, 2689740 1268968, 2688706 1269107))"
292,Stammheim,2028,1273,62.77,1259,862,397,68.47,Stammheim,102,1,"POLYGON ((2698340 1277272, 2698440 1277543, 2699120 1277767, 2699921 1278574, 2700503 1278442, 2700895 1278793, 2701218 1279151, 2701392 1280287, 2702142 1280257, 2702456 1280254, 2702648 1280237, 2702642 1278848, 2704274 1278266, 2704370 1277555, 2704220 1277197, 2703843 1276318, 2703333 1276098, 2703218 1275566, 2703437 1275426, 2703210 1275158, 2703398 1274967, 2702724 1274564, 2702672 1273937, 2702606 1273151, 2701524 1273369, 2701631 1273959, 2701445 1274091, 2699488 1274995, 2699078 1274846, 2698540 1275347, 2698940 1275603, 2698817 1275955, 2698702 1276120, 2698162 1276040, 2698368 1276595, 2698137 1276826, 2698340 1277272))"
